recode_id,PUBCHEM_SUBSTANCE_URL,LIPID_MAPS_CMPD_URL,LM_ID,COMMON_NAME,CATEGORY,MAIN_CLASS,SUB_CLASS,CHEBI_ID,INCHI_KEY,INCHI,STATUS,SYSTEMATIC_NAME,SYNONYMS,EXACT_MASS,FORMULA,LIPIDBANK_ID,PUBCHEM_SID,PUBCHEM_CID,KEGG_ID,HMDBID
LMST01010000,,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010000,LMST01010000,Cholestane skeleton,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],35516,XIIAYQZJNBULGD-LDHZKLTISA-N,"InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21?,22+,23-,24+,25+,26+,27-/m1/s1",Active,,,,,,,,,
LMST01010001,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266362,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010001,LMST01010001,Cholesterol,Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],16113,HVYWMOMLDIMFJA-DPAQBDIFSA-N,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Active,cholest-5-en-3beta-ol,Cholesterol; Cholest-5-en-3-ol; (3beta)-Cholest-5-en-3-ol; Cholesteryl alcohol,386.354866,C27H46O,SST9061,4266362,5997,C00187,HMDB00067
LMST01010002,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266363,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010002,LMST01010002,25-hydroxy-cholesterol(d3),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],37616,INBGSXNNRGWLJU-HQTLNVIASA-N,"InChI=1S/C27H46O2/c1-18(7-6-14-25(2,3)29)22-10-11-23-21-9-8-19-17-20(28)12-15-26(19,4)24(21)13-16-27(22,23)5/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3/t18-,20+,21+,22-,23+,24+,26+,27-/m1/s1/i2D3/t18-,20+,21+,22-,23+,24+,25?,26+,27-",Active,"cholest-5-en-3beta,25-diol(d3)",,405.368306,C27H43D3O2,,4266363,3247051,C15519,HMDB06247
LMST01010003,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266364,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010003,LMST01010003,4beta-hydroxy-cholesterol(d7),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,CZDKQKOAHAICSF-BZNWTYAPSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)20-11-12-21-19-9-10-23-25(29)24(28)14-16-27(23,5)22(19)13-15-26(20,21)4/h10,17-22,24-25,28-29H,6-9,11-16H2,1-5H3/t18-,19+,20-,21+,22+,24+,25-,26-,27-/m1/s1/i1D3,2D3,17D",Active,"cholest-5-en-3beta,4beta-diol(d7)",,409.393005,C27H39D7O2,,4266364,3247052,,
LMST01010004,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266365,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010004,LMST01010004,"5,6alpha-epoxy-cholesterol(d7)",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],49305,PRYIJAGAEJZDBO-BXAOGQKHSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24-27(29-24)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24+,25-,26-,27+/m1/s1/i1D3,2D3,17D",Active,"5,6alpha-epoxy-5alpha-cholestan-3beta-ol(d7)",,409.393005,C27H39D7O2,,4266365,3247053,,
LMST01010005,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266366,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010005,LMST01010005,7-oxocholesterol(d7),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,YIKKMWSQVKJCOP-KVZGVLACSA-N,"InChI=1S/C27H44O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-23,25,28H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,25+,26+,27-/m1/s1/i1D3,2D3,17D",Active,7-oxo-cholest-5-en-3beta-ol(d7),,407.377355,C27H37D7O2,,4266366,3247054,,HMDB00501
LMST01010006,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266367,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010006,LMST01010006,7alpha-hydroxy-cholesterol(d7),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,OYXZMSRRJOYLLO-WCYTWDCFSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-25,28-29H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,24-,25+,26+,27-/m1/s1/i1D3,2D3,17D",Active,"cholest-5-en-3beta,7alpha-diol(d7)",,409.393005,C27H39D7O2,,4266367,3247055,,
LMST01010007,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266368,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010007,LMST01010007,6alpha-hydroxycholestanol(d7),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,PMWTYEQRXYIMND-DNWVLYPESA-N,"InChI=1S/C27H48O2/c1-17(2)7-6-8-18(3)21-9-10-22-20-16-25(29)24-15-19(28)11-13-27(24,5)23(20)12-14-26(21,22)4/h17-25,28-29H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24-,25+,26-,27-/m1/s1/i1D3,2D3,17D",Active,"cholestan-3beta,6alpha-diol(d7)",,411.408655,C27H41D7O2,,4266368,3247056,,
LMST01010008,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266369,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010008,LMST01010008,7beta-hydroxy-cholesterol(d7),Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],,OYXZMSRRJOYLLO-SVAMASIOSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-25,28-29H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,24+,25+,26+,27-/m1/s1/i1D3,2D3,17D",Active,"cholest-5-en-3beta,7beta-diol(d7)",,409.393005,C27H39D7O2,,4266369,3247057,,HMDB06119
LMST01010009,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=4266370,http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST01010009,LMST01010009,"5,6beta-epoxy-cholesterol(d7)",Sterol Lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],28164,PRYIJAGAEJZDBO-BMFYFLSCSA-N,"InChI=1S/C27H46O2/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24-27(29-24)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24-,25-,26-,27-/m1/s1/i1D3,2D3,17D",Active,"5,6beta-epoxy-5beta-cholestan-3beta-ol(d7)",,409.393005,C27H39D7O2,,4266370,3247058,,
